coords,reward
"(114.0637483, 22.55216982)",2.4629080295562744
"(114.06403, 22.54666939)",2.8000648021698
"(114.0643918, 22.55527733)",2.319734811782837
"(114.0643988, 22.55403194)",2.3604938983917236
"(114.0659876, 22.61065996)",2.669102907180786
"(114.0661116, 22.63000384)",2.307426929473877
"(114.0669471, 22.55553846)",2.4885220527648926
"(114.0684317, 22.69558017)",2.775651454925537
"(114.0712219, 22.56682833)",2.8755640983581543
"(114.0715953, 22.55467771)",2.2940964698791504
"(114.073012, 22.70707226)",2.0770044326782227
"(114.073076, 22.68393215)",3.342590808868408
"(114.0753508, 22.70962415)",2.009895086288452
"(114.0777719, 22.73485851)",1.9036983251571655
"(114.0779134, 22.56979328)",3.1984682083129883
"(114.0780156, 22.57132763)",3.2440617084503174
"(114.0807605, 22.70500271)",2.6008150577545166
"(114.0823155, 22.5451877)",2.8320600986480713
"(114.082465, 22.54516385)",2.8422605991363525
"(114.0842199, 22.54441949)",2.7593789100646973
"(114.0848745, 22.54425085)",2.809699773788452
"(114.0849932, 22.54461403)",2.8250954151153564
"(114.0853861, 22.54441321)",2.85384202003479
"(114.0854224, 22.54361059)",2.8453750610351562
"(114.0856351, 22.54412023)",2.8700802326202393
"(114.0857521, 22.5441043)",2.8794288635253906
"(114.0998242, 22.57231149)",2.67519474029541
"(114.102444, 22.55857648)",2.8265676498413086
"(114.1040601, 22.54491148)",3.2567830085754395
"(114.1048375, 22.54540592)",3.2202398777008057
"(114.1049353, 22.54258261)",3.23040771484375
"(114.107365, 22.5462345)",3.1279513835906982
"(114.1080421, 22.57961435)",3.217174768447876
"(114.1088838, 22.53541499)",2.7337915897369385
"(114.1089414, 22.53545213)",2.7329511642456055
"(114.1092679, 22.53526575)",2.718569278717041
"(114.1095657, 22.53584949)",2.7252707481384277
"(114.1112863, 22.53622536)",3.07462215423584
"(114.11129, 22.53609711)",3.0739998817443848
"(114.1113039, 22.53537725)",3.145111560821533
"(114.111911, 22.65132165)",2.8473918437957764
"(114.1162929, 22.60471282)",3.1412603855133057
"(114.1225418, 22.57070507)",3.231872797012329
"(114.1230203, 22.56026403)",2.9674456119537354
"(114.1239944, 22.56400712)",3.081533193588257
"(114.1240989, 22.56965903)",3.198690891265869
"(114.1247502, 22.5602589)",2.9715285301208496
"(114.1293953, 22.55838335)",2.970454216003418
"(114.1343512, 22.58000764)",3.235567331314087
"(114.1346014, 22.55478391)",3.0665643215179443
"(114.1347469, 22.560897)",3.0497214794158936
"(114.2241826, 22.55951638)",3.501505136489868
