who,date,seiqd,mode,poi_o,poi_d,org_chess_x,org_chess_y,dst_chess_x,dst_chess_y,lambda_o,phi_o,lambda_d,phi_d,migrt,pre_chess_x,pre_chess_y,post_chess_x,post_chess_y,home_distance,trip_distance,weekend,pre_home_distance,post_home_distance,LU_Business,LU_City_Road,LU_Consumption,LU_Culture,LU_Industry,LU_Medical,LU_Park_&_Scenery,LU_Public,LU_Residence,LU_Science_&_Education,LU_Special,LU_Transportation,LU_Wild,trip_routelen,stime,etime
36384703,20190116,3,1,1,0,119,43,116,78,114.041782,22.54470908,114.0338301,22.62154859,20190706,117,78,147,39,1,35.12833614,FALSE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,11424.598,2019/1/16 16:44,2019/1/16 17:31
36384703,20190117,1,1,0,8,116,78,134,55,114.0338301,22.62154859,114.0779134,22.56979328,20190706,117,78,147,39,28.60069929,29.20616373,FALSE,28.60069929,20.61552813,0,0.258303187,0,0,0,0,0.005475088,0.016879831,0,0,0,0,0.454744121,10341.903,2019/1/17 14:01,2019/1/17 14:08
36384703,20190117,2,4,8,0,134,55,116,78,114.0779134,22.56979328,114.0338301,22.62154859,20190706,117,78,147,39,1,29.20616373,FALSE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,10341.903,2019/1/17 15:06,2019/1/17 18:46
36384703,20190118,1,1,0,1,116,78,119,43,114.0338301,22.62154859,114.041782,22.54470908,20190706,117,78,147,39,35.05709629,35.12833614,FALSE,35.05709629,28.28427125,0.330412522,0.90523294,0,0,0,0,0.061616154,0.625118162,0.874632989,0.087017693,0,0,0.027380078,11424.598,2019/1/18 14:50,2019/1/18 15:15
36384703,20190118,2,1,1,0,119,43,116,78,114.041782,22.54470908,114.0338301,22.62154859,20190706,117,78,147,39,1,35.12833614,FALSE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,11424.598,2019/1/18 17:08,2019/1/18 17:35
36384703,20190119,1,4,0,5,116,78,157,59,114.0338301,22.62154859,114.1343512,22.58000764,20190706,117,78,147,39,44.28317965,45.18849411,TRUE,44.28317965,22.36067977,0,0.479537843,0.12719617,0.072920586,0.096378648,0.176322878,0,0.095737174,1.343042583,0.31969518,0,0,0.052895088,14671.645,2019/1/19 13:22,2019/1/19 13:37
36384703,20190119,2,1,5,-25,157,59,,,114.1343512,22.58000764,,,20190706,117,78,147,39,,,TRUE,,,,,,,,,,,,,,,,,2019/1/19 17:04,2019/1/19 17:13
36384703,20190119,3,4,-25,0,,,116,78,,,114.0338301,22.62154859,20190706,117,78,147,39,1,,TRUE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,,2019/1/19 17:55,2019/1/19 18:22
36384703,20190120,1,4,0,3,116,78,109,42,114.0338301,22.62154859,114.0152225,22.54178126,20190706,117,78,147,39,36.87817783,36.67424164,TRUE,36.87817783,38.11823711,0.398269982,0.544652268,0.43170403,0.551344509,0,0.005500271,0,0,1.256251975,0.128369402,0,0,0,11863.337,2019/1/20 13:29,2019/1/20 14:00
36384703,20190120,2,4,3,0,109,42,116,78,114.0152225,22.54178126,114.0338301,22.62154859,20190706,117,78,147,39,1,36.67424164,TRUE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,11863.337,2019/1/20 16:59,2019/1/20 17:25
36384703,20190121,1,1,0,7,116,78,129,48,114.0338301,22.62154859,114.0643988,22.55403194,20190706,117,78,147,39,32.31098884,32.69556545,FALSE,32.31098884,20.1246118,0,0.265583936,0,0,0,0,0,0.074001991,1.96630037,0.777020052,0,0,0.002856882,8885.289,2019/1/21 9:45,2019/1/21 9:54
